-13.3155,2.33215,0.228181,0.368931,-0.0261619,0.286443,-0.0376415,0.198958,0.504172,0.485008,-0.413437,-0.466688,-0.00605833,0.25418,-0.0646155,-0.0810732,0.255022,-0.0545335,-0.506269,0.0142232
-11.7588,2.53911,-0.0984609,1.13227,-0.200567,0.0187664,-0.0876567,0.315229,0.638998,0.422561,-0.280591,-0.410102,-0.0406899,0.027831,-0.127904,-0.266516,0.102923,-0.233313,-0.645907,-0.173867
-11.2257,2.73687,-0.106292,1.22035,0.00672508,-0.178154,-0.527147,0.255432,0.605792,0.214204,-0.327977,-0.50876,-0.0175707,0.00346588,-0.0113595,-0.0408712,0.119351,-0.339185,-0.499595,-0.102754
-11.1443,3.13716,-0.315059,0.814797,-0.0358143,-0.146462,-0.524849,0.00162768,0.501107,0.182952,-0.301751,-0.382896,0.0261706,-0.107902,-0.0825401,0.0100995,0.0686976,-0.301801,-0.340751,-0.0629406
-11.3991,3.12438,-0.260081,0.682503,-0.231865,0.0456076,-0.319464,-0.140437,0.712369,0.266745,-0.301976,-0.239025,0.032182,0.0401054,-0.172329,0.0211231,0.0411414,-0.453298,-0.481854,-0.150056
-11.7429,3.28714,-0.235695,0.502356,-0.102873,0.236934,-0.272395,0.030949,0.617357,0.446614,-0.288403,-0.118538,0.0151457,-0.0356225,-0.176179,-0.0501592,-0.164385,-0.503367,-0.531886,-0.284868
-11.8489,3.49831,-0.176237,0.63471,0.131457,0.113723,-0.220398,0.0748995,0.720945,0.376835,-0.514006,-0.140133,0.0802114,-0.142395,0.0301554,-0.01376,-0.0503535,-0.248709,-0.492067,-0.182805
-11.4491,3.45782,-0.19913,0.675498,0.0807092,-0.0624598,-0.311767,-0.0529336,0.895779,0.129446,-0.464642,-0.0943878,-0.0568761,0.0531477,-0.243576,0.172316,0.0214686,-0.112856,-0.434502,-0.312007
-11.5241,3.30947,-0.0268576,0.889064,0.056487,-0.248455,-0.424624,-0.00519592,1.0609,0.323017,-0.574791,-0.159202,-0.00858196,0.0934088,-0.170199,0.0691744,-0.0676175,-0.401803,-0.512077,-0.26514
-11.4403,2.94735,0.194135,0.830913,-0.132361,-0.299679,-0.228765,-0.035656,0.755582,0.5725,-0.168734,-0.444091,-0.0114649,-0.052326,-0.202891,0.0670455,0.137581,-0.646839,-0.618008,-0.0745984
-11.862,2.61998,0.210151,0.733629,-0.38564,-0.374106,-0.49308,-0.0128295,0.483538,0.421089,-0.391245,-0.874788,0.11559,-0.0530331,-0.353952,-0.0268136,0.126918,-0.622392,-0.754036,-0.0258474
